p_T, Eta, Phi, p_T-corr, N-Trk, Angularity, Mean-p_T, p_T_1, p_T_2, p_T_3, p_T_4, p_T_5, X_tru
83.6485, -0.291963, 1.74925, -13.2806, 497, 0.262878, 0.546722, 3.46418, 3.37159, 2.63076, 1.63914, 1.42685, 0.0269171
82.0053, 0.19219, 5.94808, -14.9239, 504, 0.364882, 0.550371, 4.29044, 2.03322, 1.96235, 1.95244, 1.82513, 0
75.9132, -0.205635, 6.20718, -21.016, 436, 1.04487, 0.5346, 3.27151, 2.78241, 2.4865, 2.28066, 1.97278, 0.00387844
71.7358, 0.0643712, 5.30363, -25.1934, 473, 0.252908, 0.508765, 2.09942, 1.84555, 1.84415, 1.78806, 1.61648, 0.00352815
68.8283, 0.447334, 3.97961, -28.1008, 469, 0.247531, 0.583291, 1.92662, 1.85658, 1.66498, 1.66456, 1.43593, 0.0101742
63.5635, -0.201721, 4.84662, -33.3656, 460, 0.265923, 0.512609, 2.25549, 2.15411, 1.79802, 1.44303, 1.43762, 0.011981
60.5, -0.495621, 4.39612, -36.4291, 487, 0.241565, 0.535399, 2.92416, 1.54883, 1.53942, 1.38658, 1.35636, 0
48.5247, -0.0421703, 3.90431, -48.4045, 325, 0.218861, 0.490149, 2.43554, 1.37007, 1.28995, 1.26176, 1.2429, 0.0100284
37.5542, 0.142733, 3.1319, -59.3749, 292, 0.233978, 0.47537, 2.42199, 1.93111, 1.36842, 1.33826, 1.30016, 0.000272932
30.4881, -0.124645, 2.2024, -66.4411, 210, 0.174949, 0.499804, 1.92027, 1.41615, 1.26367, 1.23234, 1.11965, 0.00454822
30.1094, -0.159109, 5.68499, -66.8198, 164, 0.221202, 0.579027, 1.80271, 1.56366, 1.41262, 1.39731, 1.31863, 0
19.2188, -0.0629178, 0.697721, -77.7104, 120, 0.142877, 0.519426, 2.3501, 2.16367, 1.75375, 1.63727, 1.18628, 0
89.3361, -0.186013, 2.84155, -21.5853, 500, 0.263224, 0.558351, 2.89416, 2.46823, 2.42948, 2.10491, 1.96633, 0.0170698
82.6475, 0.251064, 1.01741, -28.2739, 584, 0.256829, 0.503948, 2.92321, 2.29918, 2.03988, 1.81588, 1.78779, 0.0010318
82.1288, -0.429534, 5.14301, -28.7926, 530, 0.250591, 0.5512, 2.30175, 2.23202, 2.05718, 1.80678, 1.75291, 0.0113651
81.5808, 0.240901, 1.91537, -29.3407, 464, 0.254797, 0.591165, 3.14237, 2.47452, 2.28825, 2.14582, 2.07855, 0.0454169
76.8051, -0.44739, 1.33537, -34.1163, 495, 0.270502, 0.564744, 2.88498, 1.99725, 1.92972, 1.80306, 1.72354, 0.00836108
68.5585, -0.48611, 2.29689, -42.3629, 480, 0.235374, 0.58597, 2.70644, 2.65197, 2.63286, 1.73298, 1.67672, 0.00386405
65.401, -0.453401, 4.62881, -45.5204, 480, 0.244435, 0.558983, 2.65482, 1.91753, 1.75828, 1.54608, 1.43134, 0.0129594
60.4034, -0.326049, 0.650627, -50.518, 414, 0.222859, 0.534543, 2.22377, 2.08318, 2.01869, 1.63564, 1.5208, 0.00912708
59.7347, 0.224982, 5.95917, -51.1867, 303, 0.274104, 0.568902, 3.39208, 2.45637, 2.42562, 2.22196, 1.95465, 0.00210811
46.687, -0.0190074, 5.10868, -64.2344, 293, 0.244542, 0.491442, 2.31, 2.18676, 2.17232, 1.81991, 1.57886, 0.0191002
38.4959, 0.194738, 3.24895, -72.4255, 202, 0.179216, 0.542196, 3.12463, 2.66434, 2.16566, 1.95668, 1.73292, 0.00619091
