p_T, Eta, Phi, Area, Rho, p_T-corr, N-Trk, Angularity, Angularity-NW, Mean-p_T, p_T_1, p_T_2, p_T_3, p_T_4, p_T_5, distmatch, XMatch, X_tru
24.9779, 0.344776, 5.54344, 0.133312, 187.365, -68.9765, 49, 0.168585, 0.19397, 0.509753, 2.44487, 1.25686, 1.09954, 1.04804, 0.934631, 1e+06, 0, 0
22.0591, 0.095546, 2.45477, 0.133312, 165.47, -71.8953, 44, 0.169616, 0.204118, 0.501343, 2.38031, 1.6541, 1.4894, 1.28225, 1.1757, 1e+06, 0, 0.00392734
21.4358, 0.422643, 3.01895, 0.134314, 159.595, -72.5186, 38, 0.197237, 0.22535, 0.5641, 2.28392, 1.56054, 1.15114, 1.12424, 1.03532, 1e+06, 0, 0
15.3849, 0.0647502, 0.544724, 0.0581359, 264.637, -78.5695, 29, 0.121276, 0.12854, 0.530513, 2.22702, 1.12585, 1.07314, 0.92127, 0.802547, 1e+06, 0, 0.011223
141.195, 0.0111366, 0.118893, 0.505181, 279.494, 30.7772, 235, 0.252366, 0.292525, 0.600831, 9.93555, 2.44041, 2.38399, 2.29182, 2.12689, 1e+06, 0, 0.0422789
121.729, 0.286778, 2.06963, 0.460075, 264.586, 11.3113, 199, 0.256091, 0.268823, 0.611705, 3.3105, 2.27651, 1.95611, 1.95251, 1.88308, 0.178511, 1.04912, 0.0665447
121.228, 0.172699, 5.00249, 0.508188, 238.549, 10.8096, 204, 0.247038, 0.300621, 0.594253, 10.7635, 6.6231, 3.97706, 2.64181, 1.94394, 4.51252e-10, 1, 0.13375
116.442, 0.402746, 2.72832, 0.503176, 231.414, 6.02398, 186, 0.27085, 0.289672, 0.626032, 3.7142, 3.01818, 2.06836, 1.97226, 1.82373, 0.665393, 0.0366382, 0.00248636
113.144, -0.203165, 5.30963, 0.360843, 313.555, 2.72624, 174, 0.254562, 0.276617, 0.650254, 2.25486, 2.07099, 1.96145, 1.91571, 1.84888, 1e+06, 0, 0.0389298
97.436, 0.447588, 4.07129, 0.508188, 191.732, -12.982, 186, 0.254817, 0.259358, 0.523849, 2.94209, 2.24655, 2.0123, 1.96489, 1.6628, 1e+06, 0, 0
