p_T, Eta, Phi, Area, Rho, p_T-corr, N-Trk, Angularity, Angularity-NW, Mean-p_T, p_T_1, p_T_2, p_T_3, p_T_4, p_T_5, distmatch, XMatch, X_tru
82.2275, -0.216843, 4.23164, 0.424993, 193.48, -3.54243, 170, 0.259369, 0.278487, 0.483691, 2.0607, 1.94715, 1.80927, 1.69126, 1.68611, 1e+06, 0, 0.00205671
76.9708, -0.145078, 5.48602, 0.328768, 234.119, -8.79915, 144, 0.24068, 0.273719, 0.534519, 4.03401, 2.26561, 1.85009, 1.8368, 1.71661, 0.465883, 0.282857, 0.0247161
75.29, 0.328545, 3.01648, 0.389911, 193.095, -10.4799, 152, 0.253907, 0.272224, 0.495329, 2.36165, 2.02406, 1.94298, 1.79692, 1.65025, 1e+06, 0, 0
70.9086, -0.0915481, 4.95698, 0.2997, 236.598, -14.8613, 122, 0.25713, 0.301497, 0.581218, 2.58218, 2.40171, 2.39766, 2.22234, 1.90386, 0.451066, 0.398168, 0.041066
70.5268, -0.0882217, 0.419953, 0.302707, 232.987, -15.2432, 139, 0.255487, 0.277608, 0.507387, 2.94242, 1.96152, 1.94226, 1.92665, 1.52942, 1e+06, 0, 0
68.7471, 0.391086, 4.60349, 0.404946, 169.768, -17.0229, 136, 0.24149, 0.260131, 0.505493, 2.60099, 2.18781, 1.86368, 1.5486, 1.37847, 1e+06, 0, 0
66.4031, -0.15737, 2.39532, 0.343804, 193.143, -19.3668, 139, 0.255079, 0.272375, 0.47772, 1.83252, 1.78178, 1.65361, 1.49993, 1.38784, 1e+06, 0, 0
63.0012, 0.176755, 1.05467, 0.264618, 238.083, -22.7687, 117, 0.238438, 0.253824, 0.538472, 2.68497, 2.04105, 1.84922, 1.61191, 1.51149, 1e+06, 0, 0
46.2261, 0.370478, 5.42646, 0.210492, 219.61, -39.5439, 87, 0.22724, 0.249603, 0.531334, 2.15595, 2.00896, 1.83599, 1.577, 1.19721, 1e+06, 0, 0
32.9585, -0.483668, 5.17121, 0.181424, 181.666, -52.8114, 54, 0.217082, 0.244294, 0.610343, 2.57247, 2.33376, 1.48919, 1.1854, 1.16668, 0.00483028, 0.555884, 0.129529
12.8879, 0.49963, 4.08708, 0.0831944, 154.913, -72.8821, 28, 0.163002, 0.189213, 0.460282, 1.2874, 1.09767, 1.06058, 0.932146, 0.931084, 1e+06, 0, 0
11.2517, 0.24371, 0.123738, 0.0601406, 187.091, -74.5182, 19, 0.158487, 0.223455, 0.592197, 1.71861, 1.31482, 1.05419, 0.921245, 0.690355, 1e+06, 0, 0
10.1841, -0.211999, 1.92005, 0.0661546, 153.945, -75.5858, 25, 0.23252, 0.255494, 0.407366, 1.66345, 1.02857, 0.769358, 0.613924, 0.605553, 1e+06, 0, 0.0665378
143.896, -0.133483, 3.26043, 0.501171, 287.12, 51.8511, 234, 0.249573, 0.300823, 0.614941, 7.30547, 5.64165, 2.92186, 2.73929, 2.25407, 1.10791e-05, 1, 0.107454
118.993, 0.0537186, 4.85673, 0.478117, 248.878, 26.948, 202, 0.263123, 0.295426, 0.589074, 4.37352, 3.68516, 2.93706, 2.60146, 2.55327, 1e+06, 0, 0.0258895
117.81, -0.246335, 0.434769, 0.500169, 235.541, 25.7654, 217, 0.269763, 0.2934, 0.542905, 2.54285, 2.50106, 2.3325, 2.32174, 2.00761, 1e+06, 0, 0.00982251
115.813, 0.00545933, 1.14809, 0.49616, 233.419, 23.7682, 224, 0.249891, 0.278907, 0.517023, 2.64052, 2.54954, 2.40757, 2.17171, 2.07788, 1e+06, 0, 0.0125872
112.521, 0.107388, 5.96917, 0.503176, 223.622, 20.476, 217, 0.267161, 0.305508, 0.51853, 3.46767, 2.29479, 2.06142, 1.92048, 1.90261, 1e+06, 0, 0.0016572
104.132, -0.274239, 2.68551, 0.430005, 242.164, 12.0867, 189, 0.272286, 0.282438, 0.550961, 2.51648, 2.38655, 2.23998, 2.18123, 1.84957, 1e+06, 0, 0.00107333
62.8752, 0.0578562, 2.03313, 0.289677, 217.053, -29.1699, 130, 0.232792, 0.250183, 0.483655, 2.27664, 2.04058, 1.98961, 1.82215, 1.61683, 1e+06, 0, 0.0176592
59.5648, -0.45556, 5.68668, 0.27364, 217.676, -32.4802, 100, 0.244576, 0.248356, 0.595648, 2.87144, 2.14974, 1.994, 1.65765, 1.56734, 1e+06, 0, 0
55.6856, -0.289201, 4.53448, 0.344806, 161.498, -36.3595, 121, 0.258985, 0.283473, 0.460211, 2.26767, 1.6343, 1.37399, 1.2576, 1.23988, 1e+06, 0, 0.0106598
50.1784, 0.227581, 4.09247, 0.302707, 165.765, -41.8667, 107, 0.223293, 0.257214, 0.468957, 2.45157, 1.82155, 1.69876, 1.58568, 1.2794, 1e+06, 0, 0.00112437
48.5397, -0.279639, 3.74445, 0.307719, 157.74, -43.5053, 105, 0.277007, 0.286073, 0.462283, 2.15645, 2.09001, 1.38943, 1.38802, 1.24044, 1e+06, 0, 0.00458608
40.3034, -0.492695, 1.28525, 0.187438, 215.022, -51.7416, 63, 0.222834, 0.227936, 0.639736, 2.12933, 2.07665, 1.82751, 1.64391, 1.43156, 1e+06, 0, 0.0158124
40.2874, 0.366756, 3.02568, 0.18844, 213.794, -51.7576, 75, 0.181316, 0.208298, 0.537166, 2.21344, 2.06993, 1.74497, 1.52442, 1.40006, 1e+06, 0, 0.00728413
33.5582, 0.0874715, 5.52282, 0.22252, 150.81, -58.4869, 80, 0.252164, 0.272358, 0.419477, 1.68638, 1.36385, 1.18024, 1.15379, 1.06192, 1e+06, 0, 0
23.1777, 0.377718, 5.14359, 0.137321, 168.785, -68.8674, 44, 0.275875, 0.308465, 0.526765, 1.68818, 1.44566, 1.40809, 1.01277, 0.992319, 1e+06, 0, 0
13.075, -0.158342, 1.60108, 0.0400937, 326.112, -78.97, 23, 0.0960978, 0.159583, 0.56848, 1.60399, 1.44581, 1.21219, 1.0568, 1.02106, 1e+06, 0, 0.0116586
12.3035, -0.326901, 6.144, 0.0621452, 197.98, -79.7415, 22, 0.146214, 0.185054, 0.55925, 1.89636, 1.72814, 1.39185, 1.1556, 1.03376, 1e+06, 0, 0
11.821, 0.189022, 3.60629, 0.0531242, 222.517, -80.224, 27, 0.120898, 0.125766, 0.437817, 1.21821, 0.951236, 0.803408, 0.794071, 0.785209, 1e+06, 0, 0
11.0674, 0.180795, 0.606555, 0.076178, 145.284, -80.9776, 22, 0.109525, 0.15404, 0.503066, 2.67142, 1.06294, 0.875971, 0.873723, 0.84724, 1e+06, 0, 0
131.657, -0.311679, 2.83039, 0.503176, 261.652, 34.1606, 229, 0.262561, 0.281815, 0.574922, 3.60525, 2.61918, 2.35644, 2.23634, 2.13253, 1e+06, 0, 0.0178016
110.985, 0.0825919, 2.04829, 0.506183, 219.259, 13.4888, 214, 0.272555, 0.299437, 0.518623, 3.72116, 2.78149, 2.38762, 2.05414, 1.99602, 1e+06, 0, 0
109.981, -0.446295, 0.85706, 0.504178, 218.14, 12.4849, 202, 0.268025, 0.272149, 0.544463, 3.08646, 2.47736, 2.37292, 2.08506, 1.9892, 1e+06, 0, 0.0204132
109.029, 0.473795, 4.87993, 0.49616, 219.746, 11.5325, 197, 0.252147, 0.262557, 0.553447, 2.88963, 2.81802, 2.41937, 2.12342, 2.04157, 1e+06, 0, 0
108.67, -0.182353, 5.55923, 0.438024, 248.092, 11.1735, 193, 0.250812, 0.28728, 0.563057, 2.54428, 2.41588, 2.26695, 1.985, 1.98006, 1e+06, 0, 0.0257654
103.001, 0.0861692, 0.911794, 0.394923, 260.813, 5.50436, 174, 0.256205, 0.281119, 0.591959, 3.1206, 2.35096, 2.24061, 2.18058, 2.15193, 1e+06, 0, 0
102.817, -0.458635, 3.96833, 0.500169, 205.565, 5.32046, 180, 0.252829, 0.275908, 0.571206, 4.94123, 2.8917, 2.37035, 2.19016, 2.18076, 1.06823e-09, 1, 0.0658951
99.7258, 0.4547, 4.08376, 0.503176, 198.193, 2.22919, 157, 0.263695, 0.268875, 0.635196, 3.13148, 2.75906, 2.43043, 2.23274, 2.18162, 1e+06, 0, 0.0736207
88.0466, -0.479797, 6.15284, 0.321752, 273.647, -9.45001, 162, 0.263349, 0.265659, 0.543497, 3.14773, 2.26142, 1.8917, 1.57557, 1.54638, 1e+06, 0, 0.00487858
80.4775, 0.292477, 1.47126, 0.353827, 227.449, -17.0191, 155, 0.262433, 0.295509, 0.51921, 4.06876, 2.88253, 2.29347, 1.96882, 1.87135, 1e+06, 0, 0
79.2262, 0.23144, 2.78611, 0.325761, 243.203, -18.2704, 142, 0.248338, 0.290977, 0.557931, 4.54839, 3.87269, 1.78791, 1.78297, 1.63062, 1e+06, 0, 0
74.0592, -0.485445, 3.47063, 0.330773, 223.897, -23.4373, 118, 0.221821, 0.232231, 0.627621, 3.22844, 2.6116, 2.07124, 1.83391, 1.77336, 1e+06, 0, 0.025053
66.8907, 0.471127, 5.99089, 0.352825, 189.586, -30.6059, 115, 0.239824, 0.234647, 0.581658, 2.54471, 1.95204, 1.84311, 1.525, 1.46339, 1e+06, 0, 0
66.2993, -0.0995577, 4.44118, 0.362848, 182.719, -31.1973, 155, 0.268334, 0.292867, 0.427737, 2.3206, 1.57997, 1.57057, 1.50468, 1.45128, 1e+06, 0, 0.0151625
61.2027, 0.147346, 3.52725, 0.241565, 253.36, -36.2938, 105, 0.219009, 0.230737, 0.582883, 4.00344, 2.39707, 2.17768, 2.06704, 2.02467, 1e+06, 0, 0.0436075
60.1233, 0.0500548, 0.353493, 0.372871, 161.244, -37.3732, 117, 0.255213, 0.306487, 0.513875, 2.7934, 1.88014, 1.63603, 1.62647, 1.62464, 1e+06, 0, 0.00205337
34.9704, 0.144468, 5.26208, 0.14534, 240.611, -62.5262, 67, 0.206889, 0.229854, 0.521946, 1.84917, 1.81134, 1.67554, 1.54531, 1.45594, 1e+06, 0, 0.0605066
34.8116, -0.173257, 4.92354, 0.191447, 181.834, -62.6849, 59, 0.277328, 0.308528, 0.590028, 1.54838, 1.51076, 1.38446, 1.27415, 1.17488, 1e+06, 0, 0.0103498
34.6824, -0.468558, 2.33003, 0.166389, 208.442, -62.8142, 68, 0.176862, 0.198361, 0.510035, 1.69652, 1.43355, 1.3545, 1.24177, 1.17228, 1e+06, 0, 0
32.5418, -0.263381, 1.64872, 0.139326, 233.567, -64.9548, 58, 0.210241, 0.227363, 0.561066, 2.58842, 2.00027, 1.59573, 1.5376, 1.48056, 1e+06, 0, 0
121.143, 0.0567304, 1.04089, 0.504178, 240.277, 7.92847, 236, 0.269834, 0.312998, 0.513316, 2.49138, 2.19708, 2.19447, 2.11376, 2.10858, 1e+06, 0, 0.0113395
109.832, 0.0222144, 1.74357, 0.498164, 220.472, -3.3827, 202, 0.275254, 0.291121, 0.54372, 3.32963, 2.35284, 2.31966, 2.23127, 1.96634, 1e+06, 0, 0.0115692
108.764, 0.178933, 4.47818, 0.503176, 216.154, -4.45057, 226, 0.259457, 0.302744, 0.481255, 9.64609, 1.9755, 1.75463, 1.73948, 1.64545, 7.76255e-05, 1, 0.0490496
104.529, 0.180745, 0.40856, 0.456066, 229.198, -8.68473, 187, 0.271342, 0.294597, 0.558981, 3.07021, 2.12051, 1.65353, 1.51883, 1.4775, 1e+06, 0, 0.00417984
94.3294, 0.0396246, 2.44427, 0.3849, 245.075, -18.8848, 168, 0.232717, 0.263376, 0.561484, 2.1071, 1.95882, 1.83333, 1.76179, 1.55763, 1e+06, 0, 0.00108979
89.5113, 0.297687, 5.54086, 0.391916, 228.394, -23.7029, 172, 0.258515, 0.279731, 0.520414, 2.99344, 2.71503, 2.56952, 2.17365, 2.15095, 1e+06, 0, 0.00880988
87.8012, 0.112368, 3.38628, 0.377883, 232.35, -25.413, 163, 0.269632, 0.29537, 0.538658, 2.76972, 2.32013, 1.88939, 1.8109, 1.79326, 1e+06, 0, 0.00218541
85.1563, -0.364928, 3.20607, 0.385902, 220.668, -28.0579, 145, 0.254652, 0.263234, 0.587285, 2.8122, 1.79294, 1.61673, 1.60674, 1.55493, 1e+06, 0, 0.00225361
84.017, 0.2659, 5.00985, 0.399935, 210.077, -29.1972, 161, 0.245743, 0.283013, 0.521845, 3.86102, 2.49676, 1.86441, 1.77967, 1.577, 1e+06, 0, 0
73.6121, -0.467666, 1.99351, 0.374876, 196.364, -39.6021, 141, 0.258056, 0.26144, 0.522072, 2.03505, 1.90637, 1.54418, 1.5373, 1.4358, 1e+06, 0, 0.00889739
68.9597, 0.249945, 6.14508, 0.326764, 211.038, -44.2545, 125, 0.25228, 0.277529, 0.551677, 2.65394, 2.11008, 1.83499, 1.47744, 1.42427, 1e+06, 0, 0
58.4485, -0.0318733, 3.83809, 0.255597, 228.674, -54.7657, 108, 0.232024, 0.257757, 0.54119, 2.2869, 1.82254, 1.7253, 1.58687, 1.54103, 1e+06, 0, 0.011676
53.7788, -0.311369, 5.25385, 0.270633, 198.715, -59.4354, 96, 0.204768, 0.23191, 0.560196, 1.77281, 1.73615, 1.71373, 1.63315, 1.58648, 1e+06, 0, 0
17.7409, -0.21454, 0.0589943, 0.0872038, 203.442, -95.4733, 38, 0.159705, 0.197328, 0.466867, 1.49371, 1.3493, 1.2023, 0.815332, 0.757442, 1e+06, 0, 0
17.0146, 0.375501, 2.04245, 0.0461078, 369.018, -96.1996, 28, 0.143213, 0.141201, 0.607664, 2.56657, 1.6061, 1.49756, 1.18906, 1.03158, 1e+06, 0, 0.0368421
13.6314, 0.0472338, 2.93225, 0.0541265, 251.842, -99.5829, 26, 0.114147, 0.111525, 0.524283, 1.9407, 1.63006, 1.32012, 1.20877, 0.831144, 1e+06, 0, 0
12.9837, -0.342576, 4.19249, 0.0851991, 152.392, -100.231, 27, 0.183207, 0.221573, 0.480878, 1.43859, 1.28394, 0.819799, 0.785163, 0.75543, 1e+06, 0, 0.00592309
118.655, 0.289444, 3.52776, 0.505181, 234.875, 9.4728, 212, 0.243042, 0.264511, 0.559691, 2.76697, 2.63626, 2.55941, 2.07152, 2.03418, 1e+06, 0, 0.00228121
109.061, -0.16919, 3.12504, 0.433012, 251.866, -0.120731, 191, 0.253318, 0.282288, 0.571, 3.22286, 2.15488, 2.05834, 1.97707, 1.90253, 1e+06, 0, 0.00203114
108.508, -0.408541, 5.84717, 0.507185, 213.941, -0.673855, 206, 0.265159, 0.276205, 0.526737, 2.58356, 2.4145, 2.37992, 1.89131, 1.86817, 1e+06, 0, 0.00123738
103.545, -0.26978, 1.23514, 0.497162, 208.272, -5.63668, 185, 0.287132, 0.301538, 0.559703, 2.48142, 2.33617, 2.00796, 1.79326, 1.7584, 1e+06, 0, 0.0262517
99.1511, 0.137571, 0.747242, 0.375879, 263.785, -10.0307, 188, 0.236189, 0.259626, 0.527399, 2.45254, 2.28445, 2.21819, 1.83404, 1.82241, 1e+06, 0, 0.00670968
94.8048, 0.333681, 6.17535, 0.395925, 239.451, -14.377, 182, 0.24269, 0.268663, 0.520905, 1.99625, 1.74714, 1.6927, 1.6916, 1.6809, 1e+06, 0, 0.00305324
86.2938, 0.162133, 1.48341, 0.364853, 236.517, -22.888, 164, 0.257204, 0.286062, 0.526182, 2.86195, 2.24067, 1.86305, 1.75624, 1.61335, 1e+06, 0, 0.0137411
78.2604, -0.39097, 2.02368, 0.480122, 163.001, -30.9213, 171, 0.268453, 0.275917, 0.457663, 2.51544, 2.09463, 2.01982, 1.39512, 1.30038, 1e+06, 0, 0.00132085
72.065, -0.326642, 0.559874, 0.285668, 252.269, -37.1167, 124, 0.244696, 0.266411, 0.58117, 4.39161, 2.62398, 2.12532, 2.10719, 1.61853, 0.353016, 0.909356, 0.0842194
69.8336, -0.381679, 3.75897, 0.376881, 185.294, -39.3482, 121, 0.255791, 0.265724, 0.577137, 2.05025, 1.78319, 1.77601, 1.73477, 1.61494, 1e+06, 0, 0
69.7811, -0.0711442, 4.89043, 0.2997, 232.836, -39.4007, 133, 0.239318, 0.258897, 0.52467, 3.17926, 2.57318, 2.09141, 2.02054, 1.9183, 0.221426, 0.719206, 0.0638098
69.1583, -0.111861, 5.38154, 0.258604, 267.429, -40.0235, 118, 0.259388, 0.268241, 0.586087, 2.84965, 2.57389, 2.47247, 1.92192, 1.686, 1e+06, 0, 0.0997222
62.5163, 0.362836, 4.65045, 0.334782, 186.737, -46.6655, 138, 0.250791, 0.274983, 0.453017, 2.32043, 2.09005, 1.98906, 1.83386, 1.51284, 0.529553, 0.246337, 0.0210638
54.1216, 0.260563, 2.83322, 0.287672, 188.136, -55.0602, 104, 0.231128, 0.271131, 0.5204, 3.48367, 2.67111, 2.13382, 1.35765, 1.26877, 1e+06, 0, 0.00485965
49.5804, -0.288756, 4.44334, 0.254595, 194.742, -59.6014, 103, 0.242245, 0.255448, 0.481363, 2.07677, 1.73368, 1.3452, 1.29644, 1.29275, 1e+06, 0, 0.0194526
34.6269, -0.202729, 0.076187, 0.149349, 231.852, -74.5549, 75, 0.209992, 0.226857, 0.461692, 2.39862, 2.15136, 1.3056, 1.27328, 1.1899, 1e+06, 0, 0.0129808
33.8456, 0.218764, 5.78604, 0.137321, 246.47, -75.3362, 61, 0.217424, 0.255403, 0.554845, 2.05964, 1.90357, 1.6008, 1.45446, 1.31978, 1e+06, 0, 0.0807159
31.9633, -0.0709349, 2.33722, 0.218511, 146.278, -77.2185, 72, 0.224358, 0.271232, 0.443935, 1.99871, 1.3789, 1.26718, 1.26553, 1.22842, 1e+06, 0, 0
29.1282, 0.282472, 1.98422, 0.147344, 197.688, -80.0536, 64, 0.205206, 0.228066, 0.455127, 2.08576, 1.30806, 1.27582, 0.958092, 0.940616, 1e+06, 0, 0.0023218
15.9605, 0.112962, 4.11951, 0.076178, 209.516, -93.2213, 29, 0.121762, 0.162306, 0.550362, 1.60121, 1.50359, 1.42778, 1.39281, 1.35923, 1e+06, 0, 0
135.32, 0.126614, 1.02848, 0.485134, 278.933, 31.3763, 225, 0.249423, 0.289178, 0.601421, 8.19712, 4.39193, 2.46814, 2.41262, 2.03353, 5.88223e-10, 1.07312, 0.114475
132.227, -0.377281, 6.18563, 0.504178, 262.262, 28.2832, 227, 0.265545, 0.2757, 0.582496, 3.1158, 2.62017, 2.58194, 2.47054, 2.04312, 1e+06, 0, 0.00654181
125.622, 0.357552, 0.490355, 0.421986, 297.693, 21.6788, 198, 0.270782, 0.278146, 0.634456, 2.45414, 2.28274, 2.18527, 2.00601, 1.99781, 1e+06, 0, 0.0222785
112.999, 0.314541, 4.87425, 0.502174, 225.019, 9.05531, 204, 0.274397, 0.287572, 0.553916, 4.40024, 3.07722, 2.75436, 2.26796, 2.00332, 1e+06, 0, 0.00846604
104.408, -0.483204, 2.41964, 0.49616, 210.432, 0.464622, 188, 0.252626, 0.264247, 0.555362, 2.45781, 2.32545, 2.22082, 1.99246, 1.9342, 1e+06, 0, 0.00528835
103.337, 0.474367, 2.82053, 0.504178, 204.96, -0.606857, 197, 0.264589, 0.266256, 0.524551, 3.98101, 2.23233, 1.81911, 1.69715, 1.67157, 1e+06, 0, 0.0206967
99.1393, -0.30275, 4.32309, 0.499167, 198.61, -4.80417, 178, 0.2775, 0.28699, 0.556962, 2.19876, 2.16033, 2.06089, 1.98172, 1.96564, 1e+06, 0, 0.0423459
94.8831, 0.277209, 5.98042, 0.472103, 200.98, -9.06034, 180, 0.257424, 0.277346, 0.527128, 2.73984, 2.36479, 2.04749, 1.92757, 1.5311, 1e+06, 0, 0.00518345
93.9708, -0.411268, 3.1717, 0.494155, 190.165, -9.97267, 176, 0.251497, 0.264577, 0.533925, 4.04821, 2.11594, 1.92619, 1.80967, 1.60346, 1e+06, 0, 0.00841379
92.0663, 0.0117004, 3.75489, 0.442033, 208.279, -11.8772, 184, 0.265011, 0.288812, 0.50036, 3.16316, 2.11883, 2.04208, 1.99048, 1.84196, 1e+06, 0, 0
89.0835, 0.199645, 2.30165, 0.398932, 223.305, -14.8599, 180, 0.257588, 0.266871, 0.494908, 2.14784, 1.88165, 1.85112, 1.72564, 1.71432, 1e+06, 0, 0.00335348
79.1652, -0.108506, 1.60451, 0.361846, 218.782, -24.7782, 150, 0.247928, 0.288108, 0.527768, 5.16487, 4.01406, 1.70947, 1.58433, 1.56994, 1e+06, 0, 0.0267604
78.8835, -0.305027, 1.1119, 0.348815, 226.147, -25.06, 114, 0.23125, 0.288873, 0.69196, 11.9325, 3.38703, 3.18347, 2.34425, 1.84683, 8.29779e-10, 0.874133, 0.106921
67.9164, -0.144692, 5.64171, 0.327766, 207.21, -36.0271, 129, 0.230936, 0.266799, 0.526484, 1.94741, 1.75068, 1.73449, 1.73442, 1.72535, 1e+06, 0, 0.00903129
57.6123, 0.413668, 4.30185, 0.366857, 157.043, -46.3311, 107, 0.246918, 0.254799, 0.538433, 1.80364, 1.79644, 1.66665, 1.618, 1.48933, 1e+06, 0, 0.00201224
50.9841, 0.348971, 3.28634, 0.271635, 187.693, -52.9594, 105, 0.214259, 0.234092, 0.485563, 2.19348, 1.63591, 1.61356, 1.48822, 1.27542, 1e+06, 0, 0.00999842
38.6045, -0.446612, 4.72534, 0.196459, 196.501, -65.3389, 74, 0.241025, 0.242626, 0.521683, 3.13919, 2.22427, 2.21499, 2.01042, 1.88246, 1e+06, 0, 0
28.5592, -0.0626097, 5.1857, 0.146342, 195.154, -75.3842, 48, 0.200542, 0.254704, 0.594984, 2.87787, 2.78456, 2.16256, 1.57858, 1.36816, 1e+06, 0, 0
19.3554, -0.146528, 2.77287, 0.0982296, 197.043, -84.588, 40, 0.150993, 0.16772, 0.483885, 1.69159, 1.29769, 1.23693, 1.03443, 1.0103, 1e+06, 0, 0.0422896
17.8464, -0.0670523, 0.515547, 0.0972272, 183.554, -86.097, 37, 0.192857, 0.258423, 0.482336, 1.86528, 1.35404, 1.26384, 1.20891, 1.00398, 1e+06, 0, 0.00375581
114.653, -0.320533, 2.03441, 0.500169, 229.229, 11.1117, 213, 0.276857, 0.289795, 0.538277, 3.7269, 3.06192, 2.64444, 2.20767, 2.08367, 1e+06, 0, 0.002509
113.158, 0.279533, 0.00413187, 0.512197, 220.927, 9.61684, 195, 0.25553, 0.29014, 0.580298, 3.50792, 2.62818, 2.38367, 2.15369, 1.97207, 1e+06, 0, 0.0015622
103.123, 0.36516, 4.00827, 0.468094, 220.303, -0.418689, 199, 0.254544, 0.277143, 0.518204, 4.07061, 3.38567, 3.05396, 1.68665, 1.57408, 1e+06, 0, 0.0167823
102.637, -0.22641, 5.34867, 0.506183, 202.766, -0.904764, 199, 0.278498, 0.301877, 0.515762, 2.5643, 2.37269, 2.18878, 2.14804, 2.05506, 1e+06, 0, 0
101.492, 0.495655, 5.33968, 0.495157, 204.97, -2.04913, 166, 0.269487, 0.271638, 0.611399, 2.81441, 2.52323, 2.34638, 2.16616, 2.05341, 1e+06, 0, 0.00045155
101.451, -0.0928926, 0.620259, 0.458071, 221.474, -2.09045, 210, 0.261727, 0.288582, 0.4831, 1.82007, 1.72561, 1.71829, 1.71753, 1.63469, 1e+06, 0, 0
98.9258, -0.242278, 2.83403, 0.402942, 245.509, -4.61561, 182, 0.239954, 0.267292, 0.543548, 3.83058, 3.66239, 2.22245, 2.18759, 2.15568, 1e+06, 0, 0.0123068
96.2465, 0.329388, 2.29297, 0.477115, 201.726, -7.29487, 177, 0.269298, 0.277389, 0.543765, 2.69866, 2.50198, 2.28652, 2.02205, 1.92576, 1e+06, 0, 0.00688879
90.8536, -0.254751, 4.27388, 0.390914, 232.413, -12.6878, 166, 0.243653, 0.277836, 0.547311, 5.89268, 2.33064, 2.33064, 1.93572, 1.90202, 5.22586e-05, 0.788181, 0.0753543
76.1502, 0.0568464, 3.51562, 0.323757, 235.208, -27.3912, 138, 0.22966, 0.250189, 0.551813, 2.6866, 2.51531, 1.66397, 1.66198, 1.48426, 1e+06, 0, 0.0350935
67.9807, -0.403552, 0.226548, 0.351822, 193.224, -35.5607, 123, 0.246231, 0.257823, 0.552688, 2.47728, 2.0061, 1.81101, 1.80155, 1.62076, 1e+06, 0, 0.00454096
67.8598, 0.00917349, 4.6204, 0.309724, 219.098, -35.6815, 127, 0.26367, 0.306913, 0.534329, 2.4443, 1.91034, 1.89454, 1.86266, 1.63121, 1e+06, 0, 0.00283241
63.1934, 0.100097, 1.02772, 0.307719, 205.361, -40.348, 119, 0.252297, 0.281616, 0.531037, 2.03467, 1.91426, 1.8423, 1.54487, 1.51988, 1e+06, 0, 0
54.3958, 0.0614631, 1.80414, 0.267626, 203.253, -49.1456, 109, 0.258379, 0.299206, 0.499044, 3.14222, 2.77821, 2.17863, 1.78252, 1.72562, 1e+06, 0, 0.00425412
40.4529, 0.435207, 4.84563, 0.227532, 177.79, -63.0884, 66, 0.241184, 0.264571, 0.612923, 2.63389, 2.23854, 2.03116, 1.91963, 1.75551, 1e+06, 0, 0
38.6125, -0.113911, 5.93759, 0.237555, 162.541, -64.9289, 78, 0.233887, 0.254726, 0.495032, 1.61412, 1.4648, 1.4008, 1.35895, 1.33735, 1e+06, 0, 0.0017995
35.2539, -0.362511, 3.26844, 0.163382, 215.776, -68.2875, 70, 0.227682, 0.257485, 0.503627, 1.89331, 1.60216, 1.48945, 1.36796, 1.18999, 1e+06, 0, 0
15.7233, -0.443377, 3.85911, 0.103241, 152.297, -87.818, 27, 0.131022, 0.174843, 0.582346, 2.70242, 1.62242, 1.36248, 1.24209, 1.01272, 1e+06, 0, 0
11.8835, 0.30987, 0.483301, 0.0441031, 269.449, -91.6578, 17, 0.15965, 0.187164, 0.699031, 1.60821, 1.48644, 1.42644, 1.38155, 0.937523, 1e+06, 0, 0
130.541, -0.436788, 2.70693, 0.502174, 259.952, 29.274, 202, 0.249347, 0.27387, 0.646242, 3.54345, 3.13467, 2.5693, 2.4911, 2.44834, 0.000663067, 1, 0.0668535
114.995, 0.0375519, 0.1654, 0.498164, 230.838, 13.7284, 222, 0.275594, 0.307493, 0.517997, 2.91103, 2.19537, 2.1265, 1.97165, 1.94732, 1e+06, 0, 0
111.789, -0.496514, 5.66273, 0.483129, 231.386, 10.5221, 187, 0.263733, 0.265676, 0.597803, 2.25232, 2.09497, 2.05684, 1.91311, 1.88014, 1e+06, 0, 0
109.559, -0.286644, 3.36107, 0.43201, 253.603, 8.29204, 198, 0.257988, 0.273918, 0.553328, 2.31073, 2.29653, 2.05465, 2.03731, 1.92094, 1e+06, 0, 0.0195775
109.477, 0.211181, 5.50925, 0.522221, 209.638, 8.2104, 205, 0.276063, 0.306056, 0.534036, 3.63025, 3.32523, 3.03727, 2.40534, 2.31287, 1e+06, 0, 0.0014372
105.813, 0.198728, 2.90369, 0.463082, 228.497, 4.54596, 192, 0.261385, 0.283502, 0.551109, 2.2011, 1.97933, 1.9136, 1.76962, 1.75741, 1e+06, 0, 0.0132351
97.3911, 0.0928709, 1.16873, 0.504178, 193.168, -3.87588, 204, 0.27133, 0.299942, 0.477407, 1.877, 1.72639, 1.63079, 1.56664, 1.46448, 1e+06, 0, 0.00349338
96.3095, -0.225154, 4.76674, 0.506183, 190.266, -4.95752, 185, 0.280057, 0.298536, 0.520592, 3.42195, 1.82766, 1.80983, 1.71973, 1.61545, 1e+06, 0, 0.00431414
88.9999, -0.381481, 4.29954, 0.370867, 239.978, -12.2671, 171, 0.280404, 0.293859, 0.520467, 4.34458, 3.32538, 2.55055, 2.41536, 1.94035, 1e+06, 0, 0.0124616
73.7707, 0.394661, 1.55079, 0.359841, 205.009, -27.4963, 127, 0.275511, 0.302736, 0.580871, 3.64147, 2.50373, 2.41761, 2.29, 1.7872, 1e+06, 0, 0.0104935
60.8706, -0.0824959, 3.94249, 0.278651, 218.447, -40.3964, 124, 0.237124, 0.284816, 0.490892, 2.34543, 1.87635, 1.78038, 1.61587, 1.329, 1e+06, 0, 0.00151145
