Thu Dec 17 07:03:16 2020    prof.txt

         150531575 function calls (149477974 primitive calls) in 274.147 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   603839    0.412    0.000    0.412    0.000 inspect.py:2845(parameters)
   665233    0.409    0.000    0.409    0.000 {built-in method builtins.callable}
   545712    0.403    0.000    0.403    0.000 inspect.py:2619(__init__)
   348853    0.396    0.000    0.396    0.000 transforms.py:107(__init__)
   585880    0.394    0.000    0.394    0.000 {method 'lower' of 'str' objects}
   588357    0.381    0.000    0.381    0.000 artist.py:189(axes)
      311    0.365    0.001    0.365    0.001 {built-in method builtins.print}
10946/10945    0.359    0.000    3.036    0.000 posixpath.py:396(_joinrealpath)
252333/249261    0.356    0.000    1.215    0.000 _asarray.py:14(asarray)
    34102    0.346    0.000    0.711    0.000 artist.py:1065(update_from)
46732/43624    0.343    0.000    1.141    0.000 spines.py:391(get_spine_transform)
   129516    0.333    0.000    1.593    0.000 markers.py:230(_recache)
    27227    0.314    0.000    7.117    0.000 text.py:127(__init__)
    12054    0.313    0.000    1.875    0.000 lines.py:650(recache)
    70068    0.299    0.000    0.431    0.000 font_manager.py:851(set_weight)
    51926    0.294    0.000    0.837    0.000 transforms.py:766(__init__)
   310243    0.278    0.000    0.278    0.000 {method 'split' of 'str' objects}
   432439    0.271    0.000    0.271    0.000 {built-in method builtins.id}
   194551    0.270    0.000    0.510    0.000 abc.py:96(__instancecheck__)
    77854    0.266    0.000    0.725    0.000 transforms.py:1832(__init__)
   120315    0.266    0.000    1.565    0.000 posixpath.py:164(islink)
42231/10170    0.254    0.000    2.703    0.000 validation.py:59(inner_f)
     4000    0.247    0.000    0.301    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
       80    0.246    0.003    0.256    0.003 synchronize.py:50(__init__)
323111/323103    0.240    0.000    0.247    0.000 {method 'join' of 'str' objects}
   283527    0.239    0.000    0.239    0.000 {method 'expandtabs' of 'str' objects}
328337/327987    0.237    0.000    0.369    0.000 {built-in method builtins.hasattr}
   160801    0.235    0.000    0.354    0.000 enum.py:283(__call__)
    94928    0.232    0.000    0.667    0.000 artist.py:935(set_visible)
   177134    0.229    0.000    0.336    0.000 generic.py:10(_check)
    15954    0.229    0.000    0.229    0.000 {method 'astype' of 'numpy.ndarray' objects}
   150148    0.227    0.000    0.394    0.000 function_base.py:244(iterable)
    10000    0.226    0.000    0.395    0.000 base.py:176(<listcomp>)
    11006    0.224    0.000    0.224    0.000 {built-in method posix.stat}
    37287    0.223    0.000    0.436    0.000 transforms.py:1982(scale)
     2074    0.219    0.000    0.219    0.000 {built-in method marshal.loads}
   194551    0.217    0.000    0.240    0.000 {built-in method _abc._abc_instancecheck}
    60269    0.212    0.000    1.111    0.000 transforms.py:2433(composite_transform_factory)
   170115    0.211    0.000    0.305    0.000 inspect.py:2809(<genexpr>)
        9    0.209    0.023    0.209    0.023 {method 'write' of '_io.TextIOWrapper' objects}
    33002    0.208    0.000    0.547    0.000 lines.py:1098(set_linestyle)
