p_T, Eta, Phi, p_T-corr, N-Trk, Angularity, Mean-p_T, p_T_1, p_T_2, p_T_3, p_T_4, p_T_5, X_tru
37.1367, -0.448116, 4.96941, -50.7958, 341, 0.232275, 0.458478, 1.86242, 1.72921, 1.6721, 1.48492, 1.18739, 0
34.3914, 0.469518, 1.22296, -53.5411, 214, 0.217466, 0.563794, 1.62977, 1.47852, 1.26338, 1.24706, 1.22575, 0
30.1803, -0.166244, 3.00909, -57.7523, 184, 0.195093, 0.486779, 1.69644, 1.62711, 1.49359, 1.10952, 1.10011, 0.0150835
16.9699, -0.466179, 1.32558, -70.9627, 160, 0.237097, 0.628513, 1.98527, 1.23166, 1.09169, 0.998561, 0.906076, 0
15.9021, 0.449184, 3.71363, -72.0305, 63, 0.153879, 0.99388, 2.50056, 1.87277, 1.74353, 1.74177, 1.25248, 0.00811322
15.003, -0.0826225, 5.52947, -72.9295, 125, 0.174377, 0.365927, 1.12019, 0.978097, 0.797621, 0.724353, 0.71582, 0.0174706
14.1098, 0.0644732, 0.835575, -73.8227, 89, 0.107685, 0.503923, 1.22123, 1.04989, 0.875613, 0.866224, 0.853871, 0
11.7461, 0.335924, 2.39746, -76.1864, 85, 0.160634, 0.391537, 0.88803, 0.882181, 0.823434, 0.734144, 0.671448, 0.0376706
11.6717, 0.416661, 1.99411, -76.2608, 61, 0.116845, 0.530532, 1.81571, 1.24307, 1.20538, 1.09037, 0.836626, 0.0157742
97.1439, -0.49665, 1.8432, -7.79517, 676, 0.261464, 0.545752, 2.33301, 2.18764, 1.9827, 1.93996, 1.8021, 0
93.1136, 0.298928, 2.94348, -11.8255, 534, 0.253278, 0.567766, 2.5094, 2.41444, 2.35187, 2.05872, 1.97357, 0.0173327
78.3076, 0.00839197, 1.69012, -26.6315, 554, 0.267901, 0.50521, 2.62712, 2.57441, 1.99613, 1.99016, 1.94031, 0
78.065, 0.0828803, 2.33717, -26.874, 533, 0.244168, 0.516987, 3.23835, 2.67146, 2.03917, 1.89041, 1.63196, 0.00295872
77.9217, 0.0238443, 4.41089, -27.0174, 524, 0.259276, 0.509292, 2.53071, 1.96247, 1.78909, 1.67394, 1.53964, 0.00188269
66.6928, -0.0691421, 3.19713, -38.2463, 389, 0.242398, 0.49402, 2.25338, 2.0913, 1.56174, 1.54499, 1.49318, 0.000508822
